"","nodes","nTree","r2"
"1",1,1,0.920132099225296
"2",2,1,0.897191202900049
"3",3,1,0.896650509242149
"4",4,1,0.889364553270889
"5",5,1,0.89268450864043
"6",6,1,0.89526140108031
"7",7,1,0.874204175885888
"8",8,1,0.876292565953379
"9",9,1,0.862444611549875
"10",10,1,0.854018356047787
"11",11,1,0.852962884064352
"12",12,1,0.854683828023645
"13",13,1,0.855263636827681
"14",14,1,0.852544293135474
"15",15,1,0.850933589488842
"16",16,1,0.83709547364375
"17",17,1,0.828861063121628
"18",18,1,0.810275723047675
"19",19,1,0.808081904865139
"20",20,1,0.80412203925951
"21",21,1,0.803957758704625
"22",22,1,0.799682089991534
"23",23,1,0.79968886925536
"24",24,1,0.79968886925536
"25",25,1,0.79968886925536
"26",26,1,0.799729800471172
"27",27,1,0.799729800471172
"28",28,1,0.809013415030645
"29",29,1,0.809013415030645
"30",30,1,0.808084446936066
"31",31,1,0.795869842947404
"32",32,1,0.795869842947404
"33",33,1,0.795387251420539
"34",34,1,0.795387251420539
"35",35,1,0.804385740122416
"36",36,1,0.804385740122416
"37",37,1,0.804385740122416
"38",38,1,0.804385740122416
"39",39,1,0.793467099905031
"40",40,1,0.793467099905031
"41",41,1,0.793467099905031
"42",42,1,0.782305435114387
"43",43,1,0.782305435114387
"44",44,1,0.782305435114387
"45",45,1,0.782305435114387
"46",46,1,0.781619848991098
"47",47,1,0.781619848991098
"48",48,1,0.781619848991098
"49",49,1,0.781619848991098
"50",50,1,0.780831451832217
"51",51,1,0.781407526834713
"52",52,1,0.781407526834713
"53",53,1,0.781407526834713
"54",54,1,0.781407526834713
"55",55,1,0.781407526834713
"56",56,1,0.766903486970221
"57",57,1,0.766858695937255
"58",58,1,0.773993353619542
"59",59,1,0.773993353619542
"60",60,1,0.773993353619542
"61",61,1,0.773993353619542
"62",62,1,0.786121404392563
"63",63,1,0.786121404392563
"64",64,1,0.786121404392563
"65",65,1,0.786121404392563
"66",66,1,0.786121404392563
"67",67,1,0.786121404392563
"68",68,1,0.786121404392563
"69",69,1,0.786121404392563
"70",70,1,0.786121404392563
"71",71,1,0.786121404392563
"72",72,1,0.782566357458203
"73",73,1,0.782566357458203
"74",74,1,0.782566357458203
"75",75,1,0.782566357458203
"76",76,1,0.77549206344015
"77",77,1,0.773083393355274
"78",78,1,0.773083393355274
"79",79,1,0.773083393355274
"80",80,1,0.773083393355274
"81",81,1,0.773083393355274
"82",82,1,0.773083393355274
"83",83,1,0.773083393355274
"84",84,1,0.773083393355274
"85",85,1,0.773083393355274
"86",86,1,0.773083393355274
"87",87,1,0.773083393355274
"88",88,1,0.773083393355274
"89",89,1,0.773083393355274
"90",90,1,0.773083393355274
"91",91,1,0.773083393355274
"92",92,1,0.773083393355274
"93",93,1,0.773083393355274
"94",94,1,0.760253814048764
"95",95,1,0.760253814048764
"96",96,1,0.760253814048764
"97",97,1,0.760253814048764
"98",98,1,0.760253814048764
"99",99,1,0.760253814048764
"100",100,1,0.760253814048764
"101",1,2,0.949821783012617
"102",2,2,0.925330745237681
"103",3,2,0.939978918279495
